ip,cpu_usage,memory_usage,network_traffic,execution_time,latency
10.0.0.1,54.88,78.95,165.0,69.0,76.46
10.0.0.2,67.06,56.2,856.0,2.0,8.58
10.0.0.3,9.61,5.84,195.0,100.0,15.08
10.0.0.4,82.89,87.02,543.0,78.0,359.35
10.0.0.5,24.88,69.98,669.0,11.0,33.67
10.0.0.6,44.71,11.45,617.0,64.0,110.31
10.0.0.7,84.64,33.09,995.0,3.0,19.94
10.0.0.8,29.83,35.48,336.0,39.0,43.1
10.0.0.9,20.0,6.3,800.0,84.0,87.96
10.0.0.10,39.82,25.01,552.0,65.0,116.31
10.0.0.11,18.62,46.64,607.0,80.0,159.4
10.0.0.12,31.18,91.99,241.0,50.0,73.48
10.0.0.13,17.96,86.86,688.0,92.0,331.75
10.0.0.14,21.69,32.35,379.0,34.0,34.4
10.0.0.15,32.0,72.03,15.0,79.0,6.21
10.0.0.16,84.89,67.8,503.0,59.0,228.19
10.0.0.17,14.81,41.39,867.0,72.0,175.44
10.0.0.18,36.86,75.8,25.0,18.0,2.52
10.0.0.19,37.09,38.65,357.0,79.0,106.57
10.0.0.20,95.92,76.84,396.0,33.0,113.81
10.0.0.21,42.4,83.49,10.0,81.0,4.92
10.0.0.22,61.45,99.38,1.0,86.0,0.78
10.0.0.23,96.9,75.7,28.0,15.0,3.7
10.0.0.24,15.24,21.47,1000.0,10.0,19.24
10.0.0.25,8.95,18.62,915.0,54.0,68.5
10.0.0.26,69.53,78.37,360.0,62.0,164.01
10.0.0.27,64.72,45.45,34.0,48.0,9.08
10.0.0.28,50.98,67.54,149.0,26.0,22.75
10.0.0.29,44.2,76.72,160.0,81.0,78.51
10.0.0.30,13.35,98.31,465.0,72.0,187.92
10.0.0.31,91.98,30.99,211.0,81.0,104.49
10.0.0.32,88.98,46.09,227.0,11.0,16.99
10.0.0.33,5.85,81.19,450.0,60.0,117.45
10.0.0.34,7.0,27.72,470.0,13.0,10.91
10.0.0.35,22.14,61.29,763.0,16.0,52.29
10.0.0.36,92.72,17.33,199.0,83.0,90.76
10.0.0.37,30.04,84.76,955.0,70.0,381.39
10.0.0.38,16.6,60.83,580.0,46.0,103.66
10.0.0.39,80.94,87.33,590.0,4.0,18.77
10.0.0.40,41.67,16.16,558.0,42.0,67.14
10.0.0.41,77.31,96.23,582.0,73.0,368.11
10.0.0.42,71.86,35.48,511.0,72.0,197.38
10.0.0.43,72.78,13.1,908.0,50.0,193.37
10.0.0.44,29.08,84.44,480.0,62.0,168.56
10.0.0.45,92.17,71.31,465.0,88.0,335.63
10.0.0.46,22.96,36.78,498.0,65.0,96.48
10.0.0.47,85.32,89.81,676.0,78.0,460.92
10.0.0.48,77.45,88.21,508.0,6.0,26.39
10.0.0.49,26.28,52.85,473.0,97.0,182.08
10.0.0.50,63.08,65.19,551.0,69.0,243.42
10.0.0.51,94.78,95.24,177.0,98.0,165.93
10.0.0.52,68.37,32.14,952.0,56.0,270.12
10.0.0.53,63.4,51.83,15.0,34.0,2.9
10.0.0.54,82.68,97.59,57.0,67.0,34.03
10.0.0.55,36.75,27.18,619.0,59.0,117.21
10.0.0.56,9.86,80.35,570.0,5.0,12.43
10.0.0.57,71.19,98.35,896.0,27.0,203.45
10.0.0.58,52.77,52.08,917.0,79.0,379.02
10.0.0.59,27.13,20.02,754.0,19.0,33.43
10.0.0.60,54.34,44.74,208.0,61.0,62.46
10.0.0.61,64.55,76.96,982.0,87.0,605.66
10.0.0.62,10.11,35.29,952.0,76.0,163.6
10.0.0.63,88.73,66.18,185.0,3.0,3.82
10.0.0.64,83.56,30.86,455.0,7.0,17.74
10.0.0.65,53.79,69.13,50.0,83.0,25.64
10.0.0.66,22.18,46.45,320.0,81.0,89.28
10.0.0.67,7.38,67.6,45.0,3.0,0.55
10.0.0.68,80.49,44.47,287.0,49.0,87.37
10.0.0.69,35.03,45.51,379.0,95.0,144.63
10.0.0.70,87.57,11.23,200.0,62.0,61.37
10.0.0.71,10.97,52.26,286.0,41.0,37.45
10.0.0.72,96.82,22.05,750.0,24.0,107.48
10.0.0.73,33.85,53.55,376.0,65.0,107.05
10.0.0.74,49.72,15.04,977.0,34.0,108.96
10.0.0.75,39.2,23.6,65.0,48.0,9.89
10.0.0.76,13.43,47.02,68.0,42.0,8.7
10.0.0.77,92.19,70.57,395.0,59.0,190.81
10.0.0.78,17.61,79.27,282.0,73.0,100.52
10.0.0.79,88.11,10.01,447.0,28.0,61.88
10.0.0.80,8.05,29.79,739.0,88.0,122.75
10.0.0.81,35.6,90.6,783.0,89.0,441.3
10.0.0.82,5.03,21.07,63.0,41.0,3.4
10.0.0.83,96.49,26.27,71.0,25.0,11.0
10.0.0.84,21.76,56.81,29.0,63.0,7.19
10.0.0.85,51.66,90.47,228.0,52.0,84.34
10.0.0.86,96.31,58.04,653.0,6.0,31.19
10.0.0.87,72.43,91.39,563.0,85.0,390.04
10.0.0.88,54.79,12.76,445.0,33.0,49.9
10.0.0.89,42.24,64.96,419.0,26.0,58.62
10.0.0.90,24.58,88.07,130.0,88.0,64.5
10.0.0.91,42.75,29.83,758.0,25.0,67.76
10.0.0.92,11.82,77.09,886.0,64.0,253.91
10.0.0.93,14.19,62.49,318.0,35.0,42.74
10.0.0.94,77.39,33.51,872.0,88.0,423.68
10.0.0.95,58.91,25.22,277.0,51.0,59.4
10.0.0.96,68.13,79.75,148.0,32.0,35.43
10.0.0.97,67.02,80.22,79.0,77.0,45.26
10.0.0.98,22.24,27.78,972.0,94.0,228.52
10.0.0.99,58.1,13.72,770.0,41.0,114.33
10.0.0.100,79.26,75.95,365.0,36.0,102.53
10.0.0.101,81.72,26.17,349.0,88.0,166.06
10.0.0.102,19.92,27.97,55.0,24.0,3.14
10.0.0.103,48.21,46.72,57.0,86.0,23.36
10.0.0.104,9.45,59.71,589.0,57.0,115.39
10.0.0.105,100.0,59.46,81.0,20.0,13.07
10.0.0.106,9.11,72.1,50.0,91.0,18.36
10.0.0.107,53.76,99.08,893.0,95.0,650.1
10.0.0.108,35.75,81.18,306.0,95.0,169.77
10.0.0.109,36.92,57.51,673.0,9.0,28.34
10.0.0.110,86.67,27.15,821.0,99.0,461.94
10.0.0.111,28.14,58.25,708.0,84.0,256.14
10.0.0.112,27.46,69.16,72.0,42.0,14.46
10.0.0.113,90.96,5.66,774.0,28.0,105.04
10.0.0.114,97.02,41.62,424.0,23.0,66.77
10.0.0.115,81.0,25.67,776.0,84.0,346.42
10.0.0.116,66.45,51.62,275.0,3.0,4.13
10.0.0.117,50.85,33.48,355.0,11.0,16.16
10.0.0.118,69.74,10.9,567.0,83.0,189.52
10.0.0.119,5.54,99.51,744.0,54.0,209.97
10.0.0.120,75.77,29.02,65.0,58.0,19.77
10.0.0.121,26.89,15.02,794.0,64.0,107.02
10.0.0.122,86.04,10.04,530.0,55.0,138.7
10.0.0.123,28.85,45.54,413.0,45.0,69.15
10.0.0.124,13.25,21.19,650.0,44.0,49.15
10.0.0.125,15.45,36.27,597.0,7.0,11.13
10.0.0.126,82.41,81.28,822.0,60.0,406.74
10.0.0.127,72.42,71.62,251.0,87.0,156.6
10.0.0.128,37.76,67.9,858.0,10.0,44.33
10.0.0.129,72.86,63.2,476.0,9.0,28.83
10.0.0.130,86.74,80.26,444.0,25.0,93.5
10.0.0.131,9.62,17.38,903.0,49.0,60.08
10.0.0.132,16.22,22.68,729.0,19.0,26.79
10.0.0.133,62.72,9.8,130.0,12.0,5.61
